"","Bird.Call","Location","Distance","Date","Confidence","jd","std_dev","mean_noise"
"234","Acadian Flycatcher","ncbg","25m",614,0.418,166,0.00600816364647804,0.0166425217746495
"235","Blue-gray Gnatcatcher","ncbg","25m",614,0.9612,166,0.00600816364647804,0.0166425217746495
"236","Carolina Wren","ncbg","25m",614,0.9316,166,0.00600816364647804,0.0166425217746495
"237","Eastern Wood-Pewee","ncbg","25m",614,0.6315,166,0.00600816364647804,0.0166425217746495
"238","Mourning Dove","ncbg","25m",614,0.9307,166,0.00600816364647804,0.0166425217746495
"239","Yellow-billed Cuckoo","ncbg","25m",614,0.9122,166,0.00600816364647804,0.0166425217746495
"240","Acadian Flycatcher","ncbg","25m",614,0.7687,166,0.00600816364647804,0.0166425217746495
"241","Blue-gray Gnatcatcher","ncbg","25m",614,0.9545,166,0.00600816364647804,0.0166425217746495
"242","Carolina Wren","ncbg","25m",614,0.9466,166,0.00600816364647804,0.0166425217746495
"243","Eastern Wood-Pewee","ncbg","25m",614,0.7757,166,0.00600816364647804,0.0166425217746495
"244","Mourning Dove","ncbg","25m",614,0.5983,166,0.00600816364647804,0.0166425217746495
"245","Yellow-billed Cuckoo","ncbg","25m",614,0.973,166,0.00600816364647804,0.0166425217746495
"246","Acadian Flycatcher","ncbg","25m",614,0.9197,166,0.00600816364647804,0.0166425217746495
"247","Blue-gray Gnatcatcher","ncbg","25m",614,0.7333,166,0.00600816364647804,0.0166425217746495
"248","Carolina Wren","ncbg","25m",614,0.9918,166,0.00600816364647804,0.0166425217746495
"249","Eastern Wood-Pewee","ncbg","25m",614,0.5921,166,0.00600816364647804,0.0166425217746495
"250","Mourning Dove","ncbg","25m",614,0.8765,166,0.00600816364647804,0.0166425217746495
"251","Yellow-billed Cuckoo","ncbg","25m",614,0.9351,166,0.00600816364647804,0.0166425217746495
"252","Acadian Flycatcher","ncbg","50m",524,0.9106,145,0.0120957360817717,0.0302925805069077
"253","Blue-gray Gnatcatcher","ncbg","50m",524,0.8619,145,0.0120957360817717,0.0302925805069077
"254","Carolina Wren","ncbg","50m",524,0.9997,145,0.0120957360817717,0.0302925805069077
"255","Eastern Wood-Pewee","ncbg","50m",524,0.8284,145,0.0120957360817717,0.0302925805069077
"256","Mourning Dove","ncbg","50m",524,0.0058,145,0.0120957360817717,0.0302925805069077
"257","Yellow-billed Cuckoo","ncbg","50m",524,0.9883,145,0.0120957360817717,0.0302925805069077
"258","Acadian Flycatcher","ncbg","50m",524,0.9711,145,0.0120957360817717,0.0302925805069077
"259","Blue-gray Gnatcatcher","ncbg","50m",524,0.9379,145,0.0120957360817717,0.0302925805069077
"260","Carolina Wren","ncbg","50m",524,0.9955,145,0.0120957360817717,0.0302925805069077
"261","Eastern Wood-Pewee","ncbg","50m",524,0.9177,145,0.0120957360817717,0.0302925805069077
"262","Mourning Dove","ncbg","50m",524,0.0384,145,0.0120957360817717,0.0302925805069077
"263","Yellow-billed Cuckoo","ncbg","50m",524,0.8753,145,0.0120957360817717,0.0302925805069077
"264","Acadian Flycatcher","ncbg","50m",524,0.7909,145,0.0120957360817717,0.0302925805069077
"265","Blue-gray Gnatcatcher","ncbg","50m",524,0.8564,145,0.0120957360817717,0.0302925805069077
"266","Carolina Wren","ncbg","50m",524,0.9993,145,0.0120957360817717,0.0302925805069077
"267","Eastern Wood-Pewee","ncbg","50m",524,0.9291,145,0.0120957360817717,0.0302925805069077
"268","Mourning Dove","ncbg","50m",524,0.0121,145,0.0120957360817717,0.0302925805069077
"269","Yellow-billed Cuckoo","ncbg","50m",524,0.9948,145,0.0120957360817717,0.0302925805069077
"270","Acadian Flycatcher","ncbg","50m",614,0.6895,166,0.00600816364647804,0.0166425217746495
"271","Blue-gray Gnatcatcher","ncbg","50m",614,0.5065,166,0.00600816364647804,0.0166425217746495
"272","Carolina Wren","ncbg","50m",614,0.3419,166,0.00600816364647804,0.0166425217746495
"273","Eastern Wood-Pewee","ncbg","50m",614,0.5721,166,0.00600816364647804,0.0166425217746495
"274","Mourning Dove","ncbg","50m",614,0.0079,166,0.00600816364647804,0.0166425217746495
"275","Yellow-billed Cuckoo","ncbg","50m",614,2e-04,166,0.00600816364647804,0.0166425217746495
"276","Acadian Flycatcher","ncbg","50m",614,0.6878,166,0.00600816364647804,0.0166425217746495
