Start (s),End (s),Scientific name,Common name,Confidence,File
40.5,43.5,Thryothorus ludovicianus,Carolina Wren,0.0008,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
42.0,45.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.3052,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
42.0,45.0,Empidonax virescens,Acadian Flycatcher,0.0032,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
42.0,45.0,Contopus virens,Eastern Wood-Pewee,0.0013,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
42.0,45.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0013,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
42.0,45.0,Zenaida macroura,Mourning Dove,0.0003,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
42.0,45.0,Thryothorus ludovicianus,Carolina Wren,0.0002,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
43.5,46.5,Thryothorus ludovicianus,Carolina Wren,0.0109,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
43.5,46.5,Polioptila caerulea,Blue-gray Gnatcatcher,0.0040,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
43.5,46.5,Contopus virens,Eastern Wood-Pewee,0.0028,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
43.5,46.5,Empidonax virescens,Acadian Flycatcher,0.0021,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
43.5,46.5,Coccyzus americanus,Yellow-billed Cuckoo,0.0020,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
43.5,46.5,Zenaida macroura,Mourning Dove,0.0014,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
